variable,time,emissions,5_perc,10_perc,50_perc,90_perc,95_perc
mean summer temperature (°C),2080-2099,RCP6.0,1.4,1.9,4.1,6.5,7.1
mean winter precipitation (%),2010-2029,RCP6.0,-10,-6,6,19,23
mean winter precipitation (%),2020-2039,RCP6.0,-9,-6,6,18,22
mean winter precipitation (%),2030-2049,RCP6.0,-7,-4,8,21,24
mean winter precipitation (%),2040-2059,RCP6.0,-11,-7,8,22,26
mean winter precipitation (%),2050-2069,RCP6.0,-13,-9,8,24,29
mean winter precipitation (%),2060-2079,RCP6.0,-12,-7,12,32,38
mean winter precipitation (%),2070-2089,RCP6.0,-12,-6,15,37,43
mean winter precipitation (%),2080-2099,RCP6.0,-11,-5,16,39,45
mean summer precipitation (%),2010-2029,RCP6.0,-25,-20,-3,14,19
mean summer precipitation (%),2020-2039,RCP6.0,-32,-27,-7,15,21
mean summer precipitation (%),2030-2049,RCP6.0,-38,-33,-11,11,18
mean summer precipitation (%),2040-2059,RCP6.0,-44,-38,-15,8,16
mean summer precipitation (%),2050-2069,RCP6.0,-46,-40,-17,6,13
mean summer precipitation (%),2060-2079,RCP6.0,-51,-45,-21,3,10
mean summer precipitation (%),2070-2089,RCP6.0,-58,-51,-25,2,10
mean summer precipitation (%),2080-2099,RCP6.0,-66,-58,-29,0,8
mean annual temperature (°C),2010-2029,RCP4.5,0.1,0.2,0.7,1.3,1.5
mean annual temperature (°C),2020-2039,RCP4.5,0.2,0.3,0.9,1.5,1.7
mean annual temperature (°C),2030-2049,RCP4.5,0.3,0.5,1.2,1.9,2.1
mean annual temperature (°C),2040-2059,RCP4.5,0.4,0.6,1.4,2.3,2.5
mean annual temperature (°C),2050-2069,RCP4.5,0.5,0.8,1.7,2.6,3
mean annual temperature (°C),2060-2079,RCP4.5,0.6,0.9,2,3.1,3.4
mean annual temperature (°C),2070-2089,RCP4.5,0.8,1.1,2.3,3.5,3.8
mean annual temperature (°C),2080-2099,RCP4.5,1,1.4,2.6,3.9,4.3
mean winter temperature (°C),2010-2029,RCP4.5,-0.4,-0.2,0.6,1.4,1.6
mean winter temperature (°C),2020-2039,RCP4.5,-0.2,0,0.8,1.6,1.8
mean winter temperature (°C),2030-2049,RCP4.5,-0.1,0.2,1.1,2,2.2
mean winter temperature (°C),2040-2059,RCP4.5,0,0.3,1.3,2.3,2.6
mean winter temperature (°C),2050-2069,RCP4.5,0.1,0.4,1.5,2.7,3
mean winter temperature (°C),2060-2079,RCP4.5,0,0.4,1.6,3,3.3
mean winter temperature (°C),2070-2089,RCP4.5,0.2,0.5,1.9,3.2,3.6
mean winter temperature (°C),2080-2099,RCP4.5,0.3,0.7,2.1,3.6,4
mean summer temperature (°C),2010-2029,RCP4.5,0.1,0.3,1,1.8,2.1
mean summer temperature (°C),2020-2039,RCP4.5,0,0.2,1.1,2.1,2.4
mean summer temperature (°C),2030-2049,RCP4.5,0,0.3,1.4,2.5,2.8
mean summer temperature (°C),2040-2059,RCP4.5,0.4,0.7,1.9,3.1,3.5
mean summer temperature (°C),2050-2069,RCP4.5,0.5,0.8,2.2,3.6,4
mean summer temperature (°C),2060-2079,RCP4.5,0.6,1,2.5,4.2,4.7
mean summer temperature (°C),2070-2089,RCP4.5,0.8,1.3,3,4.9,5.5
mean summer temperature (°C),2080-2099,RCP4.5,1,1.5,3.5,5.6,6.1
mean winter precipitation (%),2010-2029,RCP4.5,-11,-7,6,19,23
mean winter precipitation (%),2020-2039,RCP4.5,-9,-6,6,19,23
mean winter precipitation (%),2030-2049,RCP4.5,-7,-4,8,21,25
mean winter precipitation (%),2040-2059,RCP4.5,-10,-6,8,24,28
mean winter precipitation (%),2050-2069,RCP4.5,-13,-8,8,25,30
mean winter precipitation (%),2060-2079,RCP4.5,-12,-7,12,31,37
mean winter precipitation (%),2070-2089,RCP4.5,-11,-6,14,34,41
mean winter precipitation (%),2080-2099,RCP4.5,-11,-6,13,34,41
mean summer precipitation (%),2010-2029,RCP4.5,-25,-20,-3,13,19
mean summer precipitation (%),2020-2039,RCP4.5,-33,-28,-7,14,20
mean summer precipitation (%),2030-2049,RCP4.5,-40,-34,-12,11,18
mean summer precipitation (%),2040-2059,RCP4.5,-46,-39,-16,9,16
mean summer precipitation (%),2050-2069,RCP4.5,-48,-41,-18,6,14
mean summer precipitation (%),2060-2079,RCP4.5,-50,-44,-20,3,10
mean summer precipitation (%),2070-2089,RCP4.5,-53,-47,-23,2,10
mean summer precipitation (%),2080-2099,RCP4.5,-58,-50,-25,0,8
mean annual temperature (°C),2010-2029,RCP2.6,0.2,0.3,0.8,1.4,1.5
mean annual temperature (°C),2020-2039,RCP2.6,0.3,0.4,1.1,1.7,1.9
mean annual temperature (°C),2030-2049,RCP2.6,0.3,0.5,1.3,2,2.3
mean annual temperature (°C),2040-2059,RCP2.6,0.4,0.6,1.4,2.2,2.4
mean annual temperature (°C),2050-2069,RCP2.6,0.3,0.5,1.4,2.3,2.5
mean annual temperature (°C),2060-2079,RCP2.6,0.3,0.6,1.4,2.4,2.6
mean annual temperature (°C),2070-2089,RCP2.6,0.4,0.6,1.5,2.5,2.7
mean annual temperature (°C),2080-2099,RCP2.6,0.3,0.6,1.5,2.5,2.8
mean winter temperature (°C),2010-2029,RCP2.6,-0.3,-0.1,0.6,1.3,1.5
mean winter temperature (°C),2020-2039,RCP2.6,-0.2,0,0.9,1.7,1.9
mean winter temperature (°C),2030-2049,RCP2.6,-0.2,0.1,1,2,2.3
mean winter temperature (°C),2040-2059,RCP2.6,-0.2,0.1,1.1,2.2,2.5
mean winter temperature (°C),2050-2069,RCP2.6,-0.2,0.1,1.2,2.3,2.6
mean winter temperature (°C),2060-2079,RCP2.6,-0.3,0,1.2,2.3,2.6
mean winter temperature (°C),2070-2089,RCP2.6,-0.3,0,1.2,2.4,2.7
mean winter temperature (°C),2080-2099,RCP2.6,-0.3,0,1.2,2.4,2.8
mean summer temperature (°C),2010-2029,RCP2.6,0.3,0.5,1.2,2,2.3
mean summer temperature (°C),2020-2039,RCP2.6,0.2,0.4,1.4,2.4,2.7
mean summer temperature (°C),2030-2049,RCP2.6,0.3,0.6,1.7,2.8,3.1
mean summer temperature (°C),2040-2059,RCP2.6,0.6,0.9,1.9,3.1,3.4
mean summer temperature (°C),2050-2069,RCP2.6,0.4,0.7,1.8,3,3.3
mean summer temperature (°C),2060-2079,RCP2.6,0.4,0.7,1.9,3.1,3.4
mean summer temperature (°C),2070-2089,RCP2.6,0.5,0.8,2,3.3,3.7
mean summer temperature (°C),2080-2099,RCP2.6,0.4,0.8,2,3.4,3.8
mean winter precipitation (%),2010-2029,RCP2.6,-9,-6,6,18,21
mean winter precipitation (%),2020-2039,RCP2.6,-9,-5,7,20,23
mean winter precipitation (%),2030-2049,RCP2.6,-8,-4,9,23,27
mean winter precipitation (%),2040-2059,RCP2.6,-10,-6,8,24,28
mean winter precipitation (%),2050-2069,RCP2.6,-11,-7,8,23,28
mean winter precipitation (%),2060-2079,RCP2.6,-11,-6,10,26,31
mean winter precipitation (%),2070-2089,RCP2.6,-11,-7,9,26,31
mean winter precipitation (%),2080-2099,RCP2.6,-13,-9,7,25,30
mean summer precipitation (%),2010-2029,RCP2.6,-29,-24,-5,14,20
mean summer precipitation (%),2020-2039,RCP2.6,-35,-29,-9,13,19
mean summer precipitation (%),2030-2049,RCP2.6,-38,-33,-13,8,14
mean summer precipitation (%),2040-2059,RCP2.6,-42,-37,-16,6,11
mean summer precipitation (%),2050-2069,RCP2.6,-42,-36,-15,7,13
mean summer precipitation (%),2060-2079,RCP2.6,-43,-37,-16,5,12
mean summer precipitation (%),2070-2089,RCP2.6,-45,-39,-17,6,12
mean summer precipitation (%),2080-2099,RCP2.6,-47,-41,-18,5,11
